0,108,16,1
80,159,16,2
170,223,16,1
260,290,16,1
345,362,16,1
435,431,16,2
520,466,16,1
610,503,16,2
700,568,16,1
700,602,16,1
610,639,16,2
520,676,16,1
435,713,16,2
345,775,16,1
260,847,16,2
170,919,16,1
80,989,16,1
0,1061,16,2
80,1131,16,1
80,1167,16,2
610,1203,16,2
610,1239,16,1
170,1273,16,2
260,1345,16,1
345,1417,16,1
435,1489,16,2
610,1561,16,1
520,1633,16,2
435,1705,16,1
345,1777,16,2
0,1849,16,1
80,1921,16,1
700,1993,16,1
610,2065,16,2
0,2137,16,1
80,2209,16,1
700,2281,16,1
610,2353,16,2
170,2425,16,1
260,2497,16,2
435,2569,16,1
520,2641,16,1
610,2713,16,1
700,2785,16,2
80,2857,16,2
0,2929,16,1
0,3001,16,1
80,3073,16,2
170,3145,16,1
260,3217,16,1
700,3289,16,2
610,3361,16,1
520,3433,16,3
435,3505,16,1
345,3577,16,2
345,3613,16,2
260,3649,16,1
260,3685,16,2
435,3721,16,1
435,3757,16,2
170,3793,16,2
170,3829,16,1
520,3865,16,1
520,3901,16,2
610,3937,16,1
610,3973,16,2
80,4009,16,1
80,4045,16,1
700,4081,16,1
700,4117,16,2
0,4153,16,1
0,4189,16,1
80,4225,16,2
80,4261,16,1
170,4297,16,2
170,4333,16,1
260,4369,16,2
260,4405,16,1
700,4441,16,3
700,4477,16,1
610,4513,16,1
610,4549,16,2
520,4585,16,1
520,4621,16,1
435,4657,16,1
435,4693,16,2
345,4729,16,2
345,4765,16,2
260,4801,16,1
260,4837,16,3
435,4873,16,2
435,4909,16,1
170,4945,16,1
170,4981,16,2
520,5017,16,1
520,5053,16,2
610,5089,16,1
610,5125,16,1
80,5161,16,2
80,5197,16,1
700,5233,16,2
700,5269,16,1
0,5305,16,2
0,5341,16,1
170,5377,16,1
170,5413,16,2
260,5449,16,1
260,5485,16,1
700,5521,16,1
700,5557,16,2
610,5593,16,3
610,5629,16,2
520,5665,16,1
520,5701,16,1
435,5737,16,2
435,5773,16,1
0,5809,16,2
700,5845,16,1
345,5881,16,2
345,5917,16,2
